module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation accuracy,accuracy drop,trial seed
7,1,classifier.0,[ 2 21],22.0,-106.0,97.65,0.10999999999999943,7254
7,2,classifier.0,[ 2 41],24.0,-104.0,97.54,0.10999999999999943,7254
7,3,classifier.0,[2 8],8.0,-120.0,97.47,0.07000000000000739,7254
7,4,classifier.0,[  2 119],54.0,-74.0,97.32,0.15000000000000568,7254
7,5,classifier.0,[ 2 86],42.0,-86.0,97.16,0.1599999999999966,7254
7,6,classifier.0,[  2 131],41.0,-87.0,96.75,0.4099999999999966,7254
7,7,classifier.0,[  2 112],39.0,-89.0,95.03,1.7199999999999989,7254
7,8,classifier.0,[  2 123],50.0,-78.0,93.01,2.019999999999996,7254
7,9,classifier.0,[ 2 93],35.0,-93.0,89.59,3.4200000000000017,7254
7,10,classifier.0,[ 2 56],60.0,-68.0,87.98,1.6099999999999994,7254
7,11,classifier.0,[ 2 63],55.0,-73.0,87.9,0.0799999999999983,7254
7,12,classifier.0,[ 2 42],61.0,-67.0,87.9,0.0,7254
7,13,classifier.0,[  2 122],35.0,-93.0,87.9,0.0,7254
7,14,classifier.0,[2 7],22.0,-106.0,87.9,0.0,7254
7,15,classifier.0,[  2 125],8.0,-120.0,87.9,0.0,7254
7,16,classifier.0,[ 2 98],7.0,-121.0,87.9,0.0,7254
7,17,classifier.0,[  2 134],57.0,-71.0,87.9,0.0,7254
7,18,classifier.0,[  2 121],41.0,-87.0,87.9,0.0,7254
7,19,classifier.0,[ 2 94],50.0,-78.0,87.9,0.0,7254
7,20,classifier.0,[ 2 84],30.0,-98.0,87.9,0.0,7254
7,21,classifier.0,[ 2 15],29.0,-99.0,87.9,0.0,7254
7,22,classifier.0,[ 2 22],60.0,-68.0,87.9,0.0,7254
7,23,classifier.0,[ 2 79],16.0,-112.0,87.9,0.0,7254
7,24,classifier.0,[ 2 48],30.0,-98.0,87.9,0.0,7254
7,25,classifier.0,[  2 149],48.0,-80.0,87.9,0.0,7254
7,26,classifier.0,[  2 103],32.0,-96.0,87.9,0.0,7254
7,27,classifier.0,[ 2 34],26.0,-102.0,87.9,0.0,7254
7,28,classifier.0,[ 2 19],26.0,-102.0,87.9,0.0,7254
7,29,classifier.0,[  2 113],19.0,-109.0,87.9,0.0,7254
7,30,classifier.0,[ 2 51],38.0,-90.0,87.9,0.0,7254
7,31,classifier.0,[  2 107],2.0,-126.0,87.9,0.0,7254
7,32,classifier.0,[ 2 46],30.0,-98.0,87.9,0.0,7254
7,33,classifier.0,[ 2 30],70.0,-58.0,87.9,0.0,7254
7,34,classifier.0,[  2 141],22.0,-106.0,87.9,0.0,7254
7,35,classifier.0,[ 1 94],-82.0,46.0,87.9,0.0,7254
7,36,classifier.0,[  1 119],-66.0,62.0,87.9,0.0,7254
7,37,classifier.0,[ 1 15],-53.0,75.0,87.79,0.10999999999999943,7254
7,38,classifier.0,[  1 149],-42.0,86.0,87.73,0.060000000000002274,7254
7,39,classifier.0,[  1 112],45.0,109.0,87.65,0.0799999999999983,7254
7,40,classifier.0,[  1 100],-79.0,49.0,87.59,0.060000000000002274,7254
7,41,classifier.0,[ 1 56],48.0,112.0,87.49,0.10000000000000853,7254
7,42,classifier.0,[ 1 86],-35.0,93.0,87.43,0.05999999999998806,7254
7,43,classifier.0,[ 1 63],12.0,76.0,87.32,0.11000000000001364,7254
7,44,classifier.0,[ 1 48],-50.0,78.0,87.27,0.04999999999999716,7254
7,45,classifier.0,[ 1 42],28.0,92.0,87.15,0.11999999999999034,7254
7,46,classifier.0,[  1 113],-23.0,105.0,87.01,0.14000000000000057,7254
7,47,classifier.0,[ 1 93],35.0,99.0,86.83,0.18000000000000682,7254
7,48,classifier.0,[  1 131],58.0,122.0,86.75,0.0799999999999983,7254
7,49,classifier.0,[  1 123],47.0,111.0,86.6,0.15000000000000568,7254
7,50,classifier.0,[  1 107],-54.0,74.0,85.83,0.769999999999996,7254
7,51,classifier.0,[ 1 46],-20.0,108.0,85.3,0.5300000000000011,7254
7,52,classifier.0,[1 7],26.0,90.0,84.04,1.259999999999991,7254
7,53,classifier.0,[  1 122],24.0,88.0,83.5,0.5400000000000063,7254
7,54,classifier.0,[ 1 98],44.0,108.0,82.11,1.3900000000000006,7254
7,55,classifier.0,[ 1 30],-63.0,65.0,81.39,0.7199999999999989,7254
4,56,features.2,[107 181],-10.0,118.0,81.2,0.18999999999999773,7254
2,57,features.0,[342 237],-3.0,125.0,81.14,0.060000000000002274,7254
7,58,classifier.0,[  1 121],25.0,89.0,80.05,1.0900000000000034,7254
2,59,features.0,[342 746],-1.0,127.0,79.98,0.06999999999999318,7254
7,60,classifier.0,[  1 125],50.0,114.0,79.37,0.6099999999999994,7254
7,61,classifier.0,[ 1 13],-72.0,56.0,78.06,1.3100000000000023,7254
2,62,features.0,[342 778],-10.0,118.0,77.9,0.1599999999999966,7254
4,63,features.2,[ 46 342],-20.0,108.0,77.73,0.1700000000000017,7254
2,64,features.0,[342 747],-4.0,124.0,77.56,0.1700000000000017,7254
2,65,features.0,[342 779],-9.0,119.0,77.24,0.3200000000000074,7254
2,66,features.0,[342 207],-6.0,122.0,76.84,0.3999999999999915,7254
2,67,features.0,[342 244],-6.0,122.0,76.51,0.3299999999999983,7254
7,68,classifier.0,[ 1 79],21.0,85.0,75.6,0.9100000000000108,7254
7,69,classifier.0,[ 1 71],-5.0,123.0,73.97,1.6299999999999955,7254
2,70,features.0,[342 209],-1.0,127.0,73.51,0.45999999999999375,7254
7,71,classifier.0,[  1 141],-31.0,97.0,72.72,0.7900000000000063,7254
2,72,features.0,[342 208],-8.0,120.0,72.19,0.5300000000000011,7254
4,73,features.2,[119 342],-27.0,101.0,71.99,0.20000000000000284,7254
7,74,classifier.0,[  1 119],62.0,126.0,71.54,0.44999999999998863,7254
7,75,classifier.0,[ 1 76],-10.0,118.0,68.82,2.720000000000013,7254
2,76,features.0,[342 781],-10.0,118.0,68.41,0.4099999999999966,7254
7,77,classifier.0,[ 1 85],-21.0,107.0,67.44,0.9699999999999989,7254
7,78,classifier.0,[1 4],-37.0,91.0,64.51,2.9299999999999926,7254
7,79,classifier.0,[  1 129],-75.0,53.0,61.23,3.2800000000000082,7254
7,80,classifier.0,[ 1 17],-3.0,125.0,59.37,1.8599999999999994,7254
7,81,classifier.0,[ 1 37],-107.0,21.0,57.94,1.4299999999999997,7254
7,82,classifier.0,[ 1 10],-56.0,72.0,56.58,1.3599999999999994,7254
7,83,classifier.0,[ 1 73],11.0,75.0,55.71,0.8699999999999974,7254
2,84,features.0,[342 813],-10.0,118.0,55.48,0.23000000000000398,7254
2,85,features.0,[342 499],-5.0,123.0,55.21,0.269999999999996,7254
2,86,features.0,[342 404],-2.0,126.0,54.9,0.3100000000000023,7254
7,87,classifier.0,[ 1 94],46.0,110.0,54.62,0.28000000000000114,7254
2,88,features.0,[342 812],-8.0,120.0,54.37,0.25,7254
7,89,classifier.0,[ 1 62],-50.0,78.0,53.77,0.5999999999999943,7254
2,90,features.0,[342 558],-1.0,127.0,53.29,0.480000000000004,7254
4,91,features.2,[125 342],61.0,125.0,53.08,0.21000000000000085,7254
2,92,features.0,[342 589],-4.0,124.0,52.37,0.7100000000000009,7254
2,93,features.0,[342 653],-4.0,124.0,52.0,0.36999999999999744,7254
2,94,features.0,[342 721],-3.0,125.0,51.26,0.740000000000002,7254
2,95,features.0,[342 753],-3.0,125.0,50.16,1.1000000000000014,7254
2,96,features.0,[342 785],-11.0,117.0,49.08,1.0799999999999983,7254
2,97,features.0,[342 754],-3.0,125.0,47.75,1.3299999999999983,7254
7,98,classifier.0,[  1 126],-97.0,31.0,45.39,2.3599999999999994,7254
7,99,classifier.0,[  1 129],53.0,117.0,43.2,2.1899999999999977,7254
7,100,classifier.0,[  9 129],40.0,-88.0,41.75,1.4500000000000028,7254
