module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation accuracy,accuracy drop,trial seed
2,1,features.0,[0 0 0 4],45.0,-83.0,98.4,0.11999999999999034,7254
2,2,features.0,[0 0 1 4],72.0,-56.0,97.82,0.5800000000000125,7254
2,3,features.0,[0 0 2 4],16.0,-112.0,96.58,1.2399999999999949,7254
2,4,features.0,[0 0 0 3],76.0,-52.0,93.42,3.1599999999999966,7254
2,5,features.0,[0 0 0 2],25.0,-103.0,87.37,6.049999999999997,7254
2,6,features.0,[0 0 1 2],68.0,-60.0,75.47,11.900000000000006,7254
2,7,features.0,[0 0 2 2],86.0,-42.0,58.09,17.379999999999995,7254
2,8,features.0,[0 0 3 1],73.0,-55.0,42.08,16.010000000000005,7254
2,9,features.0,[0 0 3 0],20.0,-108.0,34.57,7.509999999999998,7254
2,10,features.0,[0 0 4 1],59.0,-69.0,31.0,3.5700000000000003,7254
2,11,features.0,[0 0 4 0],40.0,-88.0,29.37,1.629999999999999,7254
2,12,features.0,[3 0 1 1],-17.0,111.0,27.85,1.5199999999999996,7254
2,13,features.0,[3 0 1 3],-70.0,58.0,26.29,1.5600000000000023,7254
2,14,features.0,[3 0 2 3],-127.0,1.0,24.51,1.7799999999999976,7254
2,15,features.0,[3 0 1 4],-55.0,73.0,23.08,1.4300000000000033,7254
2,16,features.0,[4 0 0 4],14.0,-114.0,21.25,1.8299999999999983,7254
2,17,features.0,[4 0 0 3],40.0,-88.0,19.47,1.7800000000000011,7254
2,18,features.0,[4 0 0 2],69.0,-59.0,17.59,1.879999999999999,7254
2,19,features.0,[2 0 4 4],21.0,-107.0,15.35,2.24,7254
2,20,features.0,[2 0 3 4],29.0,-99.0,12.76,2.59,7254
5,21,features.3,[2 0 2 3],26.0,-102.0,12.25,0.5099999999999998,7254
2,22,features.0,[2 0 4 2],8.0,-120.0,11.42,0.8300000000000001,7254
5,23,features.3,[2 0 1 3],26.0,-102.0,11.12,0.3000000000000007,7254
5,24,features.3,[2 0 2 4],24.0,-104.0,10.84,0.27999999999999936,7254
5,25,features.3,[2 0 3 4],11.0,-117.0,10.81,0.02999999999999936,7254
2,26,features.0,[2 0 4 1],15.0,-113.0,10.61,0.20000000000000107,7254
13,27,classifier.2,[ 7 50],25.0,-103.0,10.59,0.019999999999999574,7254
13,28,classifier.2,[7 1],-41.0,-105.0,10.33,0.2599999999999998,7254
13,29,classifier.2,[ 7 41],-21.0,-85.0,10.22,0.10999999999999943,7254
13,30,classifier.2,[ 7 35],-30.0,-94.0,10.13,0.08999999999999986,7254
13,31,classifier.2,[ 7 74],47.0,111.0,10.18,-0.049999999999998934,7254
2,32,features.0,[2 0 4 0],36.0,-92.0,10.22,-0.040000000000000924,7254
2,33,features.0,[4 0 1 0],40.0,-88.0,10.26,-0.03999999999999915,7254
2,34,features.0,[4 0 0 0],20.0,-108.0,10.26,0.0,7254
13,35,classifier.2,[7 6],53.0,117.0,10.27,-0.009999999999999787,7254
2,36,features.0,[2 0 3 0],84.0,-44.0,10.25,0.019999999999999574,7254
13,37,classifier.2,[ 7 67],-36.0,92.0,10.28,-0.02999999999999936,7254
5,38,features.3,[2 0 4 1],-24.0,-88.0,10.28,0.0,7254
2,39,features.0,[1 0 0 0],-23.0,105.0,10.28,0.0,7254
5,40,features.3,[2 0 3 1],-52.0,-116.0,10.28,0.0,7254
5,41,features.3,[2 0 3 2],-46.0,-110.0,10.28,0.0,7254
5,42,features.3,[2 0 2 1],-10.0,-74.0,10.28,0.0,7254
13,43,classifier.2,[ 7 41],-85.0,-117.0,10.28,0.0,7254
13,44,classifier.2,[ 7 35],-94.0,-126.0,10.28,0.0,7254
13,45,classifier.2,[ 7 15],-89.0,-121.0,10.28,0.0,7254
13,46,classifier.2,[7 5],67.0,99.0,10.28,0.0,7254
13,47,classifier.2,[ 7 67],92.0,124.0,10.28,0.0,7254
5,48,features.3,[2 0 3 0],-33.0,-97.0,10.28,0.0,7254
5,49,features.3,[4 0 2 1],14.0,-114.0,10.28,0.0,7254
13,50,classifier.2,[ 7 32],-40.0,-104.0,10.28,0.0,7254
5,51,features.3,[5 0 4 0],-47.0,81.0,10.28,0.0,7254
5,52,features.3,[5 0 4 1],-36.0,92.0,10.28,0.0,7254
5,53,features.3,[5 0 3 0],-51.0,77.0,10.28,0.0,7254
2,54,features.0,[5 0 3 4],11.0,-117.0,10.28,0.0,7254
5,55,features.3,[2 0 1 0],3.0,-125.0,10.28,0.0,7254
11,56,classifier.0,[28 75],-26.0,102.0,10.28,0.0,7254
11,57,classifier.0,[28 99],-12.0,116.0,10.28,0.0,7254
5,58,features.3,[4 0 2 2],2.0,-126.0,10.28,0.0,7254
2,59,features.0,[5 0 2 4],110.0,-18.0,10.28,0.0,7254
2,60,features.0,[2 0 0 0],-39.0,89.0,10.28,0.0,7254
13,61,classifier.2,[ 7 30],92.0,124.0,10.28,0.0,7254
