module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation accuracy,accuracy drop,trial seed
2,1,features.0,[0 0 0 4],45.0,-83.0,98.06,0.20999999999999375,7254
2,2,features.0,[0 0 1 4],72.0,-56.0,97.47,0.5900000000000034,7254
2,3,features.0,[0 0 0 3],76.0,-52.0,95.85,1.6200000000000045,7254
2,4,features.0,[0 0 1 3],72.0,-56.0,92.15,3.6999999999999886,7254
2,5,features.0,[0 0 0 2],25.0,-103.0,85.13,7.02000000000001,7254
2,6,features.0,[0 0 0 1],13.0,-115.0,73.44,11.689999999999998,7254
2,7,features.0,[0 0 1 1],12.0,-116.0,57.87,15.57,7254
2,8,features.0,[0 0 4 1],59.0,-69.0,43.03,14.839999999999996,7254
2,9,features.0,[0 0 3 1],73.0,-55.0,35.37,7.660000000000004,7254
2,10,features.0,[0 0 4 0],40.0,-88.0,32.18,3.1899999999999977,7254
2,11,features.0,[0 0 3 2],49.0,-79.0,30.23,1.9499999999999993,7254
2,12,features.0,[3 0 3 2],-34.0,94.0,28.64,1.5899999999999999,7254
2,13,features.0,[3 0 2 3],-127.0,1.0,26.76,1.879999999999999,7254
2,14,features.0,[3 0 1 3],-70.0,58.0,24.83,1.9300000000000033,7254
2,15,features.0,[3 0 1 4],-55.0,73.0,23.67,1.1599999999999966,7254
2,16,features.0,[4 0 0 4],14.0,-114.0,22.05,1.620000000000001,7254
2,17,features.0,[4 0 0 3],40.0,-88.0,19.96,2.09,7254
2,18,features.0,[2 0 4 4],21.0,-107.0,17.48,2.4800000000000004,7254
2,19,features.0,[2 0 3 4],29.0,-99.0,14.74,2.74,7254
2,20,features.0,[2 0 4 2],8.0,-120.0,13.29,1.450000000000001,7254
5,21,features.3,[2 0 2 3],26.0,-102.0,12.51,0.7799999999999994,7254
5,22,features.3,[2 0 2 4],24.0,-104.0,11.7,0.8100000000000005,7254
5,23,features.3,[2 0 3 4],11.0,-117.0,11.3,0.3999999999999986,7254
2,24,features.0,[2 0 4 1],15.0,-113.0,10.45,0.8500000000000014,7254
13,25,classifier.2,[ 7 50],25.0,-103.0,10.78,-0.33000000000000007,7254
13,26,classifier.2,[7 1],-41.0,-105.0,10.68,0.09999999999999964,7254
13,27,classifier.2,[ 7 41],-21.0,-85.0,10.36,0.3200000000000003,7254
13,28,classifier.2,[ 7 35],-30.0,-94.0,10.24,0.11999999999999922,7254
5,29,features.3,[2 0 1 4],32.0,-96.0,10.03,0.21000000000000085,7254
13,30,classifier.2,[ 7 74],47.0,111.0,10.02,0.009999999999999787,7254
2,31,features.0,[4 0 1 3],62.0,-66.0,10.22,-0.20000000000000107,7254
2,32,features.0,[2 0 0 0],-39.0,89.0,10.26,-0.03999999999999915,7254
2,33,features.0,[2 0 4 0],36.0,-92.0,10.24,0.019999999999999574,7254
2,34,features.0,[2 0 0 1],-55.0,73.0,10.27,-0.02999999999999936,7254
13,35,classifier.2,[7 6],53.0,117.0,10.29,-0.019999999999999574,7254
13,36,classifier.2,[ 7 19],-41.0,-105.0,10.28,0.009999999999999787,7254
2,37,features.0,[4 0 2 0],27.0,-101.0,10.27,0.009999999999999787,7254
2,38,features.0,[2 0 3 1],104.0,-24.0,10.27,0.0,7254
2,39,features.0,[4 0 1 0],40.0,-88.0,10.26,0.009999999999999787,7254
2,40,features.0,[2 0 3 0],84.0,-44.0,10.27,-0.009999999999999787,7254
13,41,classifier.2,[ 7 67],-36.0,92.0,10.27,0.0,7254
2,42,features.0,[1 0 0 0],-23.0,105.0,10.27,0.0,7254
5,43,features.3,[2 0 4 1],-24.0,-88.0,10.27,0.0,7254
2,44,features.0,[5 0 3 4],11.0,-117.0,10.23,0.03999999999999915,7254
13,45,classifier.2,[ 7 32],-40.0,-104.0,10.24,-0.009999999999999787,7254
5,46,features.3,[2 0 3 1],-52.0,-116.0,10.26,-0.019999999999999574,7254
5,47,features.3,[2 0 3 2],-46.0,-110.0,10.27,-0.009999999999999787,7254
2,48,features.0,[5 0 2 4],110.0,-18.0,10.2,0.07000000000000028,7254
5,49,features.3,[2 0 1 2],17.0,-111.0,10.2,0.0,7254
2,50,features.0,[0 0 4 4],-61.0,67.0,10.26,-0.0600000000000005,7254
5,51,features.3,[2 3 2 1],-20.0,108.0,10.27,-0.009999999999999787,7254
5,52,features.3,[5 0 4 1],-36.0,92.0,10.28,-0.009999999999999787,7254
5,53,features.3,[5 3 4 0],24.0,-104.0,10.28,0.0,7254
5,54,features.3,[5 3 4 1],24.0,-104.0,10.28,0.0,7254
11,55,classifier.0,[28 75],-26.0,102.0,10.28,0.0,7254
5,56,features.3,[4 0 4 4],1.0,-127.0,10.28,0.0,7254
13,57,classifier.2,[ 7 41],-85.0,-117.0,10.28,0.0,7254
13,58,classifier.2,[7 5],67.0,99.0,10.28,0.0,7254
13,59,classifier.2,[ 7 35],-94.0,-126.0,10.28,0.0,7254
13,60,classifier.2,[ 7 30],92.0,124.0,10.28,0.0,7254
13,61,classifier.2,[ 7 67],92.0,124.0,10.28,0.0,7254
11,62,classifier.0,[28 99],-12.0,116.0,10.28,0.0,7254
5,63,features.3,[2 3 2 0],-58.0,70.0,10.28,0.0,7254
5,64,features.3,[14  1  3  0],105.0,-23.0,10.28,0.0,7254
5,65,features.3,[10  0  4  1],20.0,-108.0,10.28,0.0,7254
5,66,features.3,[10  0  3  1],29.0,-99.0,10.28,0.0,7254
5,67,features.3,[10  0  0  1],1.0,-127.0,10.28,0.0,7254
13,68,classifier.2,[ 7 16],-14.0,-78.0,10.28,0.0,7254
13,69,classifier.2,[ 7 16],-78.0,-110.0,10.28,0.0,7254
11,70,classifier.0,[18 10],-10.0,118.0,10.28,0.0,7254
11,71,classifier.0,[18 28],19.0,-109.0,10.28,0.0,7254
5,72,features.3,[4 2 4 3],11.0,-117.0,10.28,0.0,7254
13,73,classifier.2,[ 7 15],-89.0,-121.0,10.28,0.0,7254
5,74,features.3,[10  0  0  2],17.0,-111.0,10.28,0.0,7254
5,75,features.3,[7 3 4 4],-9.0,119.0,10.28,0.0,7254
5,76,features.3,[7 4 3 3],26.0,-102.0,10.28,0.0,7254
13,77,classifier.2,[ 7 64],-107.0,-123.0,10.28,0.0,7254
13,78,classifier.2,[7 5],99.0,115.0,10.28,0.0,7254
13,79,classifier.2,[ 7 50],-103.0,-119.0,10.28,0.0,7254
13,80,classifier.2,[ 7 55],111.0,127.0,10.28,0.0,7254
13,81,classifier.2,[ 7 32],-104.0,-120.0,10.28,0.0,7254
13,82,classifier.2,[ 7 16],-110.0,-126.0,10.28,0.0,7254
11,83,classifier.0,[21 75],6.0,-122.0,10.28,0.0,7254
8,84,features.6,[35  1  0  2],9.0,-119.0,10.28,0.0,7254
8,85,features.6,[88  1  0  2],-20.0,108.0,10.28,0.0,7254
8,86,features.6,[88 13  4  2],16.0,-112.0,10.28,0.0,7254
11,87,classifier.0,[21 10],8.0,-120.0,10.28,0.0,7254
8,88,features.6,[81  1  3  1],-17.0,111.0,10.28,0.0,7254
11,89,classifier.0,[77 51],-5.0,123.0,10.28,0.0,7254
2,90,features.0,[1 0 4 1],28.0,-100.0,10.28,0.0,7254
2,91,features.0,[1 0 1 0],-61.0,67.0,10.28,0.0,7254
5,92,features.3,[7 4 2 3],80.0,-48.0,10.28,0.0,7254
5,93,features.3,[10  0  0  3],25.0,-103.0,10.28,0.0,7254
5,94,features.3,[4 4 2 4],54.0,-74.0,10.28,0.0,7254
11,95,classifier.0,[77 53],8.0,-120.0,10.28,0.0,7254
8,96,features.6,[39  1  1  3],6.0,-122.0,10.28,0.0,7254
8,97,features.6,[39  1  2  2],24.0,-104.0,10.28,0.0,7254
11,98,classifier.0,[27 72],-27.0,101.0,10.28,0.0,7254
13,99,classifier.2,[7 5],115.0,123.0,10.28,0.0,7254
13,100,classifier.2,[ 7 41],-117.0,-125.0,10.28,0.0,7254
